CMDLINE python main.py
MEM 1.675781 1699376793.9689
MEM 22.726562 1699376794.0694
MEM 35.656250 1699376794.1699
MEM 38.933594 1699376794.2705
MEM 47.437500 1699376794.3710
MEM 45.117188 1699376794.4715
MEM 44.742188 1699376794.5717
MEM 46.582031 1699376794.6722
MEM 47.992188 1699376794.7724
MEM 46.742188 1699376794.8725
MEM 46.742188 1699376794.9731
MEM 46.582031 1699376795.0733
MEM 47.992188 1699376795.1737
MEM 46.742188 1699376795.2742
MEM 46.746094 1699376795.3746
MEM 47.996094 1699376795.4751
MEM 46.746094 1699376795.5754
MEM 46.746094 1699376795.6759
MEM 46.023438 1699376795.7765
MEM 47.996094 1699376795.8771
MEM 46.746094 1699376795.9776
MEM 46.585938 1699376796.0781
MEM 45.742188 1699376796.1787
MEM 47.996094 1699376796.2789
MEM 46.746094 1699376796.3794
MEM 46.746094 1699376796.4799
MEM 46.023438 1699376796.5803
MEM 46.816406 1699376796.6808
MEM 57.812500 1699376796.7813
MEM 65.980469 1699376796.8819
MEM 78.070312 1699376796.9824
MEM 85.128906 1699376797.0829
MEM 91.785156 1699376797.1837
MEM 97.019531 1699376797.2843
MEM 103.191406 1699376797.3848
MEM 118.445312 1699376797.4853
MEM 124.003906 1699376797.5858
MEM 129.371094 1699376797.6863
MEM 134.230469 1699376797.7865
MEM 138.878906 1699376797.8870
MEM 48.210938 1699376797.9876
MEM 53.867188 1699376798.0881
MEM 63.753906 1699376798.1883
MEM 73.546875 1699376798.2889
MEM 83.105469 1699376798.3894
MEM 89.906250 1699376798.4900
MEM 95.699219 1699376798.5905
MEM 101.742188 1699376798.6911
MEM 116.937500 1699376798.7916
MEM 122.367188 1699376798.8920
MEM 127.574219 1699376798.9926
MEM 132.503906 1699376799.0931
MEM 137.250000 1699376799.1936
MEM 131.960938 1699376799.2942
MEM 51.054688 1699376799.3947
MEM 61.050781 1699376799.4949
MEM 69.417969 1699376799.5954
MEM 81.117188 1699376799.6959
MEM 88.359375 1699376799.7964
MEM 94.718750 1699376799.8969
MEM 100.148438 1699376799.9975
MEM 115.679688 1699376800.0980
MEM 121.332031 1699376800.1986
MEM 126.714844 1699376800.2987
MEM 131.734375 1699376800.3993
MEM 136.597656 1699376800.4998
MEM 140.886719 1699376800.6000
MEM 50.058594 1699376800.7006
MEM 60.929688 1699376800.8011
MEM 69.042969 1699376800.9017
MEM 80.734375 1699376801.0018
MEM 87.550781 1699376801.1021
MEM 93.312500 1699376801.2025
MEM 99.242188 1699376801.3026
MEM 114.671875 1699376801.4029
MEM 119.527344 1699376801.5032
MEM 124.906250 1699376801.6036
MEM 129.292969 1699376801.7041
MEM 134.054688 1699376801.8047
MEM 138.414062 1699376801.9052
MEM 48.050781 1699376802.0058
MEM 54.066406 1699376802.1063
MEM 64.628906 1699376802.2068
MEM 76.734375 1699376802.3074
MEM 83.707031 1699376802.4079
MEM 90.523438 1699376802.5085
MEM 96.367188 1699376802.6090
MEM 101.679688 1699376802.7096
MEM 116.722656 1699376802.8101
MEM 122.054688 1699376802.9104
MEM 127.367188 1699376803.0109
MEM 132.179688 1699376803.1114
MEM 136.296875 1699376803.2117
MEM 140.550781 1699376803.3122
MEM 50.054688 1699376803.4123
MEM 60.226562 1699376803.5129
MEM 68.292969 1699376803.6134
MEM 80.136719 1699376803.7140
MEM 87.054688 1699376803.8142
MEM 92.792969 1699376803.9144
MEM 97.968750 1699376804.0148
MEM 123.683594 1699376804.1153
MEM 118.914062 1699376804.2155
MEM 123.968750 1699376804.3161
MEM 129.109375 1699376804.4165
MEM 133.406250 1699376804.5168
MEM 138.019531 1699376804.6171
MEM 47.488281 1699376804.7176
MEM 52.949219 1699376804.8181
MEM 63.679688 1699376804.9186
MEM 71.140625 1699376805.0189
MEM 82.832031 1699376805.1193
MEM 89.785156 1699376805.2198
MEM 95.687500 1699376805.3203
MEM 101.496094 1699376805.4207
MEM 115.992188 1699376805.5210
